review_id,review_text,label,created_at
1,앱이 자꾸 튕겨요. 사용할 수가 없어요,bug,2025-01-01 09:00:00
2,로그인하면 바로 꺼져버립니다,bug,2025-01-01 09:05:00
3,결제 버튼을 누르면 앱이 멈춥니다,bug,2025-01-01 09:10:00
4,업데이트 후부터 사진이 안 불러와져요,bug,2025-01-01 09:15:00
5,알림이 전혀 오지 않아요. 설정도 켜져있는데,bug,2025-01-01 09:20:00
6,영상 재생 중에 갑자기 꺼집니다,bug,2025-01-01 09:25:00
7,지도가 현재 위치를 잘못 표시해요,bug,2025-01-01 09:30:00
8,검색 결과가 아무것도 안 나와요,bug,2025-01-01 09:35:00
9,프로필 사진 바꾸기가 작동 안 합니다,bug,2025-01-01 09:40:00
10,앱 열면 흰 화면만 나오고 멈춰요,bug,2025-01-01 09:45:00
11,글자가 깨져 보입니다,bug,2025-01-01 09:50:00
12,댓글 작성 후 저장이 안 돼요,bug,2025-01-01 09:55:00
13,구독 취소했는데 계속 결제되고 있어요,bug,2025-01-01 10:00:00
14,앱이 배터리를 너무 많이 먹어요,bug,2025-01-01 10:05:00
15,오프라인에서 저장한 파일이 사라졌어요,bug,2025-01-01 10:10:00
16,다크모드 기능을 추가해주세요,request,2025-01-02 09:00:00
17,위젯 기능이 있으면 좋겠어요,request,2025-01-02 09:05:00
18,PDF 내보내기 기능을 넣어주세요,request,2025-01-02 09:10:00
19,폴더 정리 기능이 있으면 편할 것 같아요,request,2025-01-02 09:15:00
20,여러 계정 동시 로그인 지원 부탁드려요,request,2025-01-02 09:20:00
21,한국어 지원이 더 강화됐으면 합니다,request,2025-01-02 09:25:00
22,음성 메모 기능을 추가해주세요,request,2025-01-02 09:30:00
23,친구 초대 기능이 있으면 좋겠어요,request,2025-01-02 09:35:00
24,글꼴 크기 조절 옵션을 늘려주세요,request,2025-01-02 09:40:00
25,수면 타이머 기능 추가를 요청합니다,request,2025-01-02 09:45:00
26,자동 백업 기능을 지원해주세요,request,2025-01-02 09:50:00
27,태그 기능이 있으면 검색이 더 편할 것 같아요,request,2025-01-02 09:55:00
28,통계 대시보드 기능이 필요해요,request,2025-01-02 10:00:00
29,캘린더 연동 기능을 추가해주세요,request,2025-01-02 10:05:00
30,오프라인 모드도 지원해줬으면 해요,request,2025-01-02 10:10:00
31,정말 편하고 유용한 앱이에요,praise,2025-01-03 09:00:00
32,디자인이 너무 깔끔하고 예뻐요,praise,2025-01-03 09:05:00
33,속도가 빠르고 안정적이에요,praise,2025-01-03 09:10:00
34,업데이트마다 점점 더 좋아지네요,praise,2025-01-03 09:15:00
35,이 앱 덕분에 생산성이 많이 올랐어요,praise,2025-01-03 09:20:00
36,고객센터 응답이 너무 빠르고 친절해요,praise,2025-01-03 09:25:00
37,직관적인 인터페이스가 마음에 들어요,praise,2025-01-03 09:30:00
38,무료인데 이 정도면 대박이에요,praise,2025-01-03 09:35:00
39,모든 기능이 필요한 것만 딱 있어요,praise,2025-01-03 09:40:00
40,매일 쓰는 앱 중 제일 만족스러워요,praise,2025-01-03 09:45:00
41,로딩이 하나도 안 걸리고 빠릿빠릿해요,praise,2025-01-03 09:50:00
42,UI가 너무 예뻐서 쓸 때마다 기분 좋아요,praise,2025-01-03 09:55:00
43,개발팀이 피드백을 잘 반영해줘서 감사해요,praise,2025-01-03 10:00:00
44,다른 앱보다 훨씬 가볍고 빠릅니다,praise,2025-01-03 10:05:00
45,오류 없이 항상 잘 작동해서 믿음직해요,praise,2025-01-03 10:10:00
46,앱 실행 시 가끔 검은 화면이 떠요,bug,2025-01-04 09:00:00
47,푸시 알림이 지연되어 옵니다,bug,2025-01-04 09:05:00
48,스크롤이 버벅거려요,bug,2025-01-04 09:10:00
49,장바구니에 담은 항목이 사라졌어요,bug,2025-01-04 09:15:00
50,비밀번호 변경 후 로그인이 안 돼요,bug,2025-01-04 09:20:00
51,공유 기능에 카카오톡 연동도 넣어주세요,request,2025-01-04 10:00:00
52,배경 테마 종류를 더 늘려주세요,request,2025-01-04 10:05:00
53,단축키 설정이 가능하면 좋겠어요,request,2025-01-04 10:10:00
54,맞춤법 검사 기능 추가를 원해요,request,2025-01-04 10:15:00
55,즐겨찾기 기능이 있었으면 해요,request,2025-01-04 10:20:00
56,사용법이 간단해서 부모님도 잘 쓰세요,praise,2025-01-04 11:00:00
57,기능이 많은데 복잡하지 않아서 좋아요,praise,2025-01-04 11:05:00
58,광고가 없어서 너무 좋습니다,praise,2025-01-04 11:10:00
59,데이터 동기화가 완벽하게 잘 됩니다,praise,2025-01-04 11:15:00
60,버그 수정이 빨라서 신뢰가 가요,praise,2025-01-04 11:20:00
